group,n,alpha_partial,beta_partial,weight
0,20,2.5035873221594906,0.9509770879447116,0.7692307692307693
1,20,2.928820963470195,0.7463722413801168,0.7692307692307693
2,20,1.098206634112139,1.0286696020521002,0.7692307692307693
3,20,2.4320430219366234,0.7698334848780104,0.7692307692307693
4,20,2.194461028719685,1.0054059051761044,0.7692307692307693
5,20,3.0752130076414548,0.9027242401648545,0.7692307692307693
6,20,2.3780603087038656,0.9991949581647697,0.7692307692307693
7,1,2.7000594070504738,0.8392896494469886,0.14285714285714285
